GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,17609,18235,19157,20158,20868,21700,22673,23932,25303,26245,27160,27555,26958,27634,28420,28916,29589,30359,31123,31999,33014,34048,35385,34944,39382,42508,44529
Alaska,23213,24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42915,44251,45019,45704,47075,48904,50180,47839,54127,59239,62900
Arizona,20364,21251,22272,23528,24135,24770,25926,27487,29116,30529,31513,31456,30090,30693,31596,32289,33074,34111,35009,35871,37691,39317,40565,40622,46171,50725,53921
Arkansas,16074,16862,17839,18878,19615,20268,21208,22293,23574,24523,25472,26147,25712,26513,27560,28228,28821,29916,30761,31829,32786,34152,34756,35035,39389,42327,44254
California,20988,21897,23174,24843,25721,26525,27670,29284,31119,32926,34659,35379,33919,34777,35971,37111,37969,39397,40951,42472,44443,46948,49083,47801,55088,60778,64835
Colorado,22341,23516,25114,27049,27861,28236,29233,30702,32131,33483,34856,35436,34335,34871,36110,36576,37803,39453,40883,42290,44286,46118,48128,47410,54342,60087,63781
Connecticut,24769,26257,27892,29575,30664,31654,33023,34916,36902,38715,40184,41165,40137,40978,41987,42958,43905,45492,46698,47589,49085,50889,51765,51555,57033,61234,65128
Delaware,23179,24385,25719,27103,28267,29357,30820,32468,34191,35312,36992,37327,36558,37503,38827,39305,39934,41305,41886,42558,43874,45778,46731,45090,50870,55029,57672
Florida,22091,23124,24157,25688,26452,26836,27874,29483,31222,33085,34302,34522,33263,34140,35387,36301,37073,38603,39924,40691,42109,44010,45332,44721,51286,56597,60204
Georgia,19754,20523,21675,22937,23600,24126,25126,26254,27684,28615,29635,29683,28587,29170,30203,30880,31763,33085,34033,35010,36469,37966,39112,38444,43838,47713,50282
Hawaii,22015,22620,23560,25006,25717,26358,27809,29259,31273,33048,34497,35574,34879,35172,35940,36664,37767,38712,39543,40236,42053,43819,45887,44135,49733,54574,58115
Idaho,17420,18030,18953,20106,20694,21197,22151,23293,24687,26100,27270,27290,26145,26608,27447,28099,29192,30149,30554,31591,32708,33961,34701,34731,39861,43951,46270
Illinois,21279,22352,23423,25055,25799,26462,27533,28884,30453,31912,33372,34024,33156,34161,35291,36010,36752,38013,39180,40356,41754,43629,44729,43955,49621,54904,58333
Indiana,18712,19600,20680,21856,22548,23206,24145,25580,26874,27752,28595,29149,28558,29371,30369,31368,31914,32871,33609,34625,36171,37592,38361,38265,42820,47211,49527
Iowa,18592,19451,20479,21604,22313,22833,23980,25369,26625,27856,28819,29761,29602,30456,31733,32497,33091,34153,34608,35629,36788,37816,38636,37946,42382,45788,47833
Kansas,19161,20153,21406,22758,23568,24075,25168,26534,27885,29408,30830,31579,30648,31143,32249,32798,33224,34094,34839,35643,36709,37966,39012,38606,42604,46669,49348
Kentucky,17523,18386,19432,20645,21277,21975,22889,24086,25299,26382,27048,27754,27576,28392,29278,29858,30452,31278,32338,33300,34455,35940,36729,36540,41199,44664,47272
Louisiana,16899,17735,18555,19489,20261,20937,22027,23127,24059,27026,28207,29037,28740,29578,30548,31288,32050,32991,33707,34426,35578,36862,37894,37480,42350,45927,48425
Maine,20120,21314,22730,24190,25390,26648,27957,29456,30997,32245,33294,34194,34300,35592,36888,37028,37867,38454,39641,41396,43241,45250,46368,46221,51856,56375,60250
Maryland,22077,23220,24526,26332,27462,28323,29591,31273,33194,34982,36354,37207,36548,37405,38451,39062,39608,40550,41317,42119,43142,44609,45350,43742,48763,53010,56052
Massachusetts,24553,25986,27557,29603,30997,32001,33795,35818,37797,39588,40715,41751,41046,42159,43317,44080,44940,46326,47715,49052,50984,52861,54500,52769,59570,64989,69101
Michigan,19683,20599,21838,23073,23808,24535,25387,26479,27539,28423,29334,30327,29912,31173,32379,33396,34337,35627,36754,38081,39450,40991,42091,41197,46237,49829,52210
Minnesota,22607,23605,25145,26969,27929,28872,30127,31699,32806,33983,34805,35809,35010,36024,37337,38165,39023,40100,41010,42020,43519,45228,45930,43683,48957,53529,56489
Mississippi,15110,15767,16689,17649,18451,19261,20163,21252,22374,23804,24819,25510,25091,25986,26892,27446,28018,28762,29488,30194,30951,31767,32405,32811,36821,40165,42131
Missouri,20089,21056,22216,23557,24458,25317,26336,27392,28594,29419,30560,31588,30989,31960,33117,34100,34668,35565,36446,37331,38477,39943,40777,40313,45008,49052,52097
Montana,18124,19069,20177,21413,22432,23568,24797,26293,27928,29551,31259,32496,31485,33123,34474,35269,36100,37524,38016,38359,39682,41573,42615,42192,48264,52568,55264
Nebraska,19048,19982,21204,22603,23451,24029,25241,26816,28226,29560,30767,31772,31007,32245,33759,34609,35113,36168,36880,37860,38865,39993,40935,40411,45720,49850,52177
Nevada,22137,22596,23980,25190,25744,26379,27384,29017,30786,32125,33101,33106,31132,31626,32786,33406,34275,35383,36297,37347,39020,40618,41799,40747,46464,51288,54054
New Hampshire,23196,24570,26148,27887,29144,30327,32139,33900,35741,37294,39040,39545,39300,40511,41544,42583,43628,44326,45937,46876,49081,50569,51891,51387,56720,62253,65908
New Jersey,23558,24883,26359,28193,29466,30708,32338,34080,35947,37750,39189,40170,39123,40042,40783,41733,42452,43672,44520,45594,46727,48405,50118,48957,55758,60356,63814
New Mexico,17275,18056,18965,19971,20703,21310,22292,23533,25022,26344,27502,28471,27866,28465,29514,29949,30456,31619,32291,32895,33852,35348,35760,35092,40128,43787,46076
New York,20405,21592,22961,24536,25420,26282,27657,29350,31331,33138,34774,35849,35509,36723,38011,38845,39976,41738,42753,44002,45818,47932,49760,47890,53685,59199,63775
North Carolina,19255,19976,21184,22462,22948,23299,24167,25399,26822,27851,28953,29283,28469,29346,30360,31233,32006,33155,34166,35040,36382,37776,39109,39065,44394,48413,51081
North Dakota,18215,19162,20177,21446,22705,23806,25103,26461,28053,29670,31270,32599,33073,34381,37295,40344,41839,43293,43351,43092,43075,44506,45836,45047,49367,53141,55780
Ohio,19369,20378,21532,22914,23795,24551,25607,26680,27894,28793,29841,30314,29795,30782,31960,32987,33965,34938,35897,36833,38163,39379,40412,39764,44402,48117,50583
Oklahoma,16764,17491,18383,19516,20335,20796,21807,22845,24387,25666,26843,27817,27008,27938,29180,29899,30562,31581,31789,32268,33225,34622,35159,34814,39035,42352,44398
Oregon,20238,21132,22310,23612,24217,24853,25816,27456,28979,30430,31593,31897,30958,31718,32654,33247,34050,35437,36853,37857,39694,41613,42838,42224,47703,52515,55412
Pennsylvania,20798,21883,23220,24801,25856,26760,28267,29739,31201,32456,33722,34787,34343,35654,36831,37514,38296,39198,40186,41001,42351,44338,45538,44208,49059,54171,57009
Rhode Island,20188,21279,22474,24122,25189,26320,27981,29375,31105,32520,33846,34434,34118,34689,35566,35780,36786,38074,39029,39819,41036,42595,43725,43231,48917,52637,55967
South Carolina,18228,19062,20158,21305,21945,22591,23526,24904,26362,27490,28740,29323,28588,29679,30733,31125,31975,33067,33944,34964,36010,37188,38389,38212,43086,46831,49252
South Dakota,17395,18231,19344,20478,21386,22270,23503,24997,26610,28171,29197,30415,30309,31812,32753,33932,34569,35488,36510,37565,38779,40371,41374,41351,46153,49698,52133
Tennessee,19207,19899,20950,22102,22577,23201,24018,25215,26499,27592,28709,29062,28370,29336,30432,31035,31459,32479,33223,34297,35607,36768,38045,37805,42895,46756,49326
Texas,19040,20040,21123,22526,23377,23808,24570,25690,27215,28314,29473,30200,29593,30573,31911,32899,33820,35210,36046,36755,38071,39454,40554,40267,45622,49668,52299
Utah,17658,18257,18974,20027,20586,21222,22025,23398,24734,26129,27456,27808,26763,26917,27772,28718,29407,30707,31656,33009,34413,36272,37749,38180,43895,48559,51027
Vermont,21306,22528,23938,25541,26934,28064,29590,31301,33059,34444,35819,36976,36954,38120,39855,40769,41460,42772,43233,43651,44889,47254,48228,47285,51432,55672,58958
Virginia,20721,21809,23245,24772,25688,26744,28112,29888,31765,33267,34647,35537,34817,35834,36759,37420,37932,38804,39386,40161,41090,42642,43710,42979,48247,52461,55776
Washington,21054,22788,24191,25767,26227,26895,28174,29696,31270,32914,34389,35397,34437,35123,36275,37189,38212,39577,40650,41933,43732,45818,47285,46223,52364,57104,60528
West Virginia,16586,17355,18325,19401,20210,21000,21847,23097,24258,25238,26240,27267,27627,28720,29997,30768,31407,32157,33122,34298,35124,36710,37687,37454,41428,44977,47589
Wisconsin,19530,20564,21823,23235,24124,24937,26184,27585,28907,30197,31169,31956,31480,32465,33534,34030,34727,35812,36628,37575,39052,40430,41504,40496,45690,49930,52593
Wyoming,18963,20184,21566,22979,23867,24616,26018,27757,29663,31550,33548,34161,33487,34006,35846,36879,37722,39563,39651,40450,41472,42890,43916,44408,49298,53869,56941
