STATE,CITIES,UNIVERSITIES,POPULATION,UNEMP_1,UNEMP_2,UNEMP_3,AVG_CONS
AK,355,11,5117673,3.4,2.5,2.5,42139.66667
AL,591,118,736510,6.4,4.3,4.2,58755.33333
AR,621,112,7473027,5,3.7,3.7,50272.33333
AZ,461,184,3069463,4,3.2,3.1,41990
CA,1598,1056,39198693,7.4,4.3,4.7,60233.66667
CO,477,154,5901339,5.5,3.1,3.3,59403.33333
CT,185,130,3643023,6.5,4,3.2,61131.66667
DE,79,25,1036423,5.4,4.2,3.8,54523.66667
FL,944,541,22904868,4.7,3,3,56029
GA,670,239,11064432,3.9,3.2,3.3,47277.66667
HI,158,38,1441387,6,3.3,2.9,54140.66667
IA,1024,102,1971122,3.6,2.9,3.2,43360.66667
ID,236,49,12642259,6.1,4.6,4.5,54286
IL,1456,371,6880131,3.9,3.1,3.5,46519.33333
IN,974,195,3218414,3.9,2.8,2.9,45334.33333
KS,738,116,2951500,3.4,2.7,2.9,46207
KY,552,141,4550595,4.5,4.1,4.3,44378.33333
LA,489,198,4588071,5.6,3.7,3.7,45567.33333
MA,127,211,1399646,4.7,2.8,2.6,56160.33333
MD,532,125,6217062,5.2,3,2.2,52608.33333
ME,66,51,7066568,5.3,3.6,3.5,64553.33333
MI,740,254,10083356,5.7,4.1,3.9,49425.33333
MN,904,165,5753048,3.7,2.5,2.8,52991.66667
MO,1081,263,2943172,5.4,3.7,3.1,39705.66667
MS,426,74,6208038,4.1,2.6,3.1,48719
MT,495,39,1131302,3.4,2.6,2.7,52032
NC,772,221,1987864,2.6,2.2,2.3,49249
ND,401,35,3214363,6.8,5.2,5.1,50602
NE,593,60,1402199,3.5,2.4,2.3,61627
NH,41,49,9379642,6.7,3.9,4.3,59976
NJ,655,235,2121164,7.1,4.1,3.7,43330.33333
NM,519,67,19737367,7.1,4.3,4,58886.33333
NV,133,66,10881189,4.9,3.7,3.5,47962.66667
NY,968,594,789047,3.1,2.1,2,52762.66667
OH,1253,444,11824034,5.2,4,3.6,47700.66667
OK,839,175,4063882,4,3,3.2,41928.33333
OR,425,103,4253653,5.2,3.9,3.8,51876.66667
PA,1886,496,13017721,5.9,4.1,3.7,53413
RI,31,30,1103429,5.6,3.2,3,52507
SC,473,129,5387830,3.9,3.2,3,46389.66667
SD,482,35,918305,2.5,1.9,1.8,49328
TN,501,221,7148304,4.5,3.4,3.2,46325.66667
TX,1836,630,30727890,5.6,3.9,4,49196.33333
UT,332,103,3443222,2.8,2.4,2.7,47827
VA,680,227,648708,3.6,2.4,1.9,55354
VT,106,31,8734685,3.8,2.7,2.7,52161.33333
WA,633,160,7857320,5.2,4.1,4.2,56665.33333
WI,791,148,1770495,5.1,3.9,3.9,44664.66667
WV,439,99,5930405,3.8,2.8,2.8,49404.33333
WY,204,13,585067,4.6,3.4,2.9,53369.33333
