GDP,Unemployment,Share_Prices,E1Y
-0.54,5.5,-1.656196459,92.3
0.489,6.3,-2.961672474,97.6
-1.291,6.8,8.916816278,90
0.673,7,5.934065934,93.9
1.684,6.8,2.385892116,91.6
1.902,6.2,1.773049645,100.9
1.943,5.6,-1.194624191,94.7
1.768,5.5,-10.52896725,101.5
0.901,5.6,-6.587837838,94.9
1.222,5.5,4.339963834,96.3
0.329,5.8,9.012131716,96.2
1.086,5.7,5.988341282,103.9
1.116,5.5,0.3,95
2.175,5.6,4.486540379,103
0.654,5.5,5.916030534,98.3
2.087,5.2,3.333333333,100.2
1.083,5,3.101087207,100.6
1.551,5,2.627442174,100.8
0.309,4.9,1.998541211,100.9
2.391,4.7,0.808066362,101.1
1.256,4.4,-0.872526069,109.7
2.199,4.1,5.982539001,103.6
2.278,3.9,0.730722227,100.7
2.405,3.8,-4.104472552,100.7
0.341,3.8,-7.612755968,96.4
0.843,3.7,-2.122610639,92.7
0.817,3.8,10.40024683,85.8
0.882,3.8,6.037488673,91.1
0.061,3.8,3.898428302,99.1
0.942,3.9,0.143277197,100.2
0.751,3.7,-2.665140091,96.3
2.019,3.6,7.38556565,102.3
1.657,3.5,2.14402109,97.1
0.772,3.4,5.839184476,97.5
0.392,3.4,-4.065733047,92.6
1.552,3.4,-0.312882184,99
0.303,3.6,-7.892367238,92.9
0.658,3.6,0.721216658,86.9
-0.489,4.2,-5.856810571,80.6
-0.149,4.8,-12.30635244,82.3
0.142,5.2,-1.465822788,82.6
0.917,5.8,9.626152547,81.3
-1.077,5.9,13.27608894,74.7
2.68,5.9,5.179915655,82.4
0.539,6,-2.597070186,87.7
0.819,5.9,-2.336051034,88.5
0.235,5.8,9.962300604,90.3
1.821,5.7,2.706946137,96.4
2.244,5.6,-0.010538872,99.3
0.94,5.4,3.831964255,101.9
1.661,4.9,-0.636120325,95.9
2.445,4.9,-8.335227099,95.8
1.083,4.8,-1.397201104,92.7
-0.527,4.8,-2.322582009,86.6
0.945,5.1,-6.516579356,91.7
-0.863,5.2,-6.418873945,81.8
0.237,5.6,-17.3137094,85.6
-0.95,6.6,-7.412919534,75.7
-0.389,8.3,13.97952866,73.1
