DATE,LMNUR3M,LMNUR12M,JLNUM3M,JLNUM12M
7/1/1960,0.771134476,0.85555538,0.740775959,0.857836179
10/1/1960,0.821236361,0.876367618,0.776631973,0.876464138
1/1/1961,0.823703953,0.878247842,0.79091902,0.89036831
4/1/1961,0.817127245,0.872587807,0.776422782,0.880461846
7/1/1961,0.798820777,0.869625381,0.752184463,0.870381424
10/1/1961,0.792433679,0.867469919,0.736475629,0.85547115
1/1/1962,0.780279295,0.863110469,0.729745939,0.848333765
4/1/1962,0.753482786,0.852475136,0.718882397,0.840229698
7/1/1962,0.722398037,0.839706901,0.696489126,0.827610613
10/1/1962,0.716366234,0.83360058,0.681817348,0.812257795
1/1/1963,0.718629129,0.830746754,0.664751977,0.799068495
4/1/1963,0.718493886,0.831522116,0.65850657,0.796799957
7/1/1963,0.712085355,0.83134337,0.656766052,0.797582975
10/1/1963,0.727541492,0.84047042,0.661262955,0.797230665
1/1/1964,0.751023746,0.847879334,0.663157402,0.794977055
4/1/1964,0.747894302,0.85233122,0.653955204,0.794731042
7/1/1964,0.782172646,0.871847667,0.680448416,0.812962598
10/1/1964,0.861118024,0.897133778,0.738852218,0.834841174
1/1/1965,0.779112969,0.867101048,0.689303073,0.814952093
4/1/1965,0.741274784,0.850597176,0.671094246,0.805526714
7/1/1965,0.737906343,0.847414174,0.675647921,0.807765164
10/1/1965,0.730458729,0.848282572,0.678711786,0.813160967
1/1/1966,0.742309852,0.853680539,0.699205633,0.825898928
4/1/1966,0.755997549,0.856909476,0.717031505,0.83711063
7/1/1966,0.742661474,0.84918238,0.720377746,0.8423153
10/1/1966,0.755282789,0.852079719,0.726520572,0.846550958
1/1/1967,0.768869513,0.858530908,0.733034756,0.851538266
4/1/1967,0.763125488,0.856824981,0.725211742,0.850583445
7/1/1967,0.795771096,0.873823855,0.743100677,0.863044281
10/1/1967,0.82112252,0.886090501,0.760994245,0.87184628
1/1/1968,0.822097685,0.887194112,0.762126888,0.869926408
4/1/1968,0.778303792,0.871199806,0.729571078,0.857881551
7/1/1968,0.756272265,0.862765489,0.712194845,0.848556801
10/1/1968,0.753312095,0.860988982,0.721800293,0.854921982
1/1/1969,0.741228518,0.856072671,0.737284277,0.870523585
4/1/1969,0.750935925,0.86072006,0.763009488,0.893683841
7/1/1969,0.767041075,0.870161981,0.766792363,0.896047583
10/1/1969,0.789993672,0.883047212,0.775245678,0.899544198
1/1/1970,0.80755983,0.893651692,0.803486992,0.914920465
4/1/1970,0.806597394,0.889437774,0.805085649,0.913120269
7/1/1970,0.830289027,0.89644538,0.802238182,0.906085939
10/1/1970,0.90528157,0.919649163,0.840908612,0.917681076
1/1/1971,0.81721494,0.890306832,0.791476453,0.900667586
4/1/1971,0.765827007,0.867617255,0.755028063,0.882679665
7/1/1971,0.761961915,0.860454977,0.759822654,0.881894868
10/1/1971,0.750854213,0.858077953,0.755907506,0.882598544
1/1/1972,0.74481033,0.858718621,0.748376679,0.877593954
4/1/1972,0.730335227,0.856686592,0.720718338,0.864723806
7/1/1972,0.777635333,0.876072724,0.757445107,0.883143773
10/1/1972,0.773193097,0.87669624,0.782583473,0.899908867
1/1/1973,0.769052976,0.876940265,0.821624027,0.929768414
4/1/1973,0.751633322,0.873551741,0.85515235,0.963649437
7/1/1973,0.773813009,0.884547569,0.944057034,1.017174144
10/1/1973,0.799892184,0.897856639,0.941926723,1.018576022
1/1/1974,0.798715659,0.894972062,0.928924571,1.01091889
4/1/1974,0.80413569,0.902201514,0.930719298,1.014123654
7/1/1974,0.842637446,0.92015321,0.958406435,1.027432777
10/1/1974,0.953263144,0.956977445,0.997528377,1.031231505
1/1/1975,0.918968692,0.938934655,0.959630316,1.005647457
4/1/1975,0.858521853,0.917041135,0.896551246,0.97003399
7/1/1975,0.817017786,0.895403165,0.845109482,0.937805729
10/1/1975,0.767711486,0.878457028,0.791821911,0.91228151
1/1/1976,0.753455967,0.869192813,0.772283681,0.899384158
4/1/1976,0.735746156,0.858465582,0.740089438,0.879865027
7/1/1976,0.731365018,0.854646562,0.726293784,0.870608583
10/1/1976,0.761074841,0.864541092,0.751803391,0.878835944
1/1/1977,0.757213084,0.863217736,0.749426844,0.875804803
4/1/1977,0.699057711,0.842660574,0.705804747,0.860314667
7/1/1977,0.693687415,0.839276366,0.701564577,0.858358239
10/1/1977,0.731302273,0.855961083,0.729220773,0.867603855
1/1/1978,0.801272466,0.886440683,0.767916845,0.886206048
4/1/1978,0.764913222,0.878246917,0.751706275,0.889058708
7/1/1978,0.730251722,0.870247882,0.745673656,0.897260162
10/1/1978,0.732748001,0.875573155,0.762302848,0.911038505
1/1/1979,0.787856457,0.896548747,0.804473674,0.930912079
4/1/1979,0.842942203,0.919282655,0.856368457,0.96567572
7/1/1979,0.806888647,0.907663811,0.87252775,0.992834141
10/1/1979,0.800943356,0.914927851,0.928189631,1.04341859
1/1/1980,0.869670395,0.949656803,1.036042255,1.107625613
4/1/1980,0.941422538,0.986829929,1.12758196,1.159864045
7/1/1980,0.896439559,0.970339184,1.075355911,1.130621531
10/1/1980,0.832391037,0.942837711,1.029257036,1.113821327
1/1/1981,0.79954096,0.931224758,1.017973991,1.116331566
4/1/1981,0.793780294,0.929697997,1.011258066,1.112103077
7/1/1981,0.80658558,0.936743633,1.00780211,1.104755189
10/1/1981,0.843482681,0.948514355,1.01468684,1.096108164
1/1/1982,0.885384241,0.951309756,1.021439441,1.083434048
4/1/1982,0.813420848,0.922733632,0.975211772,1.062932658
7/1/1982,0.790054145,0.90897076,0.945714346,1.040771435
10/1/1982,0.791430579,0.901603368,0.911976151,1.007416793
1/1/1983,0.811510727,0.901863626,0.878699844,0.975472994
4/1/1983,0.781619234,0.890016369,0.821213246,0.942682899
7/1/1983,0.781427066,0.886744031,0.790446432,0.921479509
10/1/1983,0.744371809,0.869295446,0.761095542,0.904868826
1/1/1984,0.720716399,0.858079863,0.765814909,0.905385321
4/1/1984,0.680806207,0.842338339,0.750804586,0.906465668
7/1/1984,0.679482516,0.84012236,0.760535293,0.91674338
10/1/1984,0.678381207,0.83710866,0.765725935,0.923665577
1/1/1985,0.680508671,0.84153622,0.769192501,0.926339375
4/1/1985,0.677172998,0.843171964,0.76386944,0.92336861
7/1/1985,0.67116938,0.837038393,0.750223129,0.910205974
10/1/1985,0.684647831,0.840299375,0.772448734,0.919975506
1/1/1986,0.714220296,0.85013883,0.81800766,0.942673603
4/1/1986,0.708990705,0.845832368,0.809973234,0.935718881
7/1/1986,0.702505062,0.842602071,0.790435873,0.922513252
10/1/1986,0.712604657,0.849114284,0.79489738,0.92184773
1/1/1987,0.73054285,0.857716835,0.800001848,0.924482827
4/1/1987,0.687652468,0.842574168,0.748877797,0.900299472
7/1/1987,0.690453713,0.842536227,0.745732154,0.897632405
10/1/1987,0.71145579,0.851661462,0.772491703,0.910767624
1/1/1988,0.707506172,0.853434298,0.751474816,0.902694282
4/1/1988,0.67880492,0.845162048,0.719872148,0.888865987
7/1/1988,0.669667092,0.837575781,0.707989813,0.880233982
10/1/1988,0.669167954,0.835935194,0.717580729,0.883986844
1/1/1989,0.691850392,0.843019427,0.755618479,0.897168328
4/1/1989,0.707230958,0.851503477,0.763238718,0.907521756
7/1/1989,0.720971735,0.856317126,0.764569971,0.906701078
10/1/1989,0.725443369,0.853028695,0.764602252,0.899812208
1/1/1990,0.759308403,0.862148971,0.802197061,0.913452376
4/1/1990,0.731726475,0.857032138,0.783747089,0.909344506
7/1/1990,0.728650707,0.859640354,0.800278095,0.923878378
10/1/1990,0.745775829,0.868451373,0.818752285,0.933916601
1/1/1991,0.734406461,0.863109877,0.805361734,0.927763185
4/1/1991,0.719404074,0.851574687,0.757810325,0.897270695
7/1/1991,0.695159033,0.842674539,0.720534875,0.876313555
10/1/1991,0.687784794,0.84197603,0.714150359,0.875412505
1/1/1992,0.693346329,0.842010883,0.717674727,0.876840933
4/1/1992,0.671939386,0.831751941,0.701833928,0.867518599
7/1/1992,0.682568517,0.82983092,0.70102119,0.865635356
10/1/1992,0.681580611,0.828656386,0.703024888,0.865440127
1/1/1993,0.676878352,0.827120049,0.693510423,0.855608354
4/1/1993,0.654537354,0.81901318,0.676313817,0.843747281
7/1/1993,0.643418476,0.813235641,0.663372844,0.839812491
10/1/1993,0.659147598,0.819089709,0.679050582,0.848863256
1/1/1994,0.679732672,0.830044196,0.698851739,0.861408463
4/1/1994,0.645690762,0.821814545,0.684926254,0.860446927
7/1/1994,0.638373761,0.81977395,0.680367144,0.858111106
10/1/1994,0.648641066,0.825156042,0.682988585,0.861280807
1/1/1995,0.668306422,0.834481384,0.693503263,0.865643618
4/1/1995,0.681093812,0.839231482,0.69274064,0.863194123
7/1/1995,0.691380074,0.845732563,0.688454249,0.859465346
10/1/1995,0.696104297,0.849266355,0.698496212,0.860958452
1/1/1996,0.736800706,0.860858554,0.729210591,0.873996966
4/1/1996,0.68754059,0.8426548,0.698886412,0.86177058
7/1/1996,0.659776431,0.832399429,0.680899655,0.852312867
10/1/1996,0.655851048,0.827269735,0.679645755,0.852489638
1/1/1997,0.653056707,0.823743795,0.680533296,0.851302235
4/1/1997,0.648203518,0.820295484,0.678303415,0.84727968
7/1/1997,0.667923986,0.824422174,0.684197261,0.846911844
10/1/1997,0.673936961,0.830145234,0.684820398,0.84792448
1/1/1998,0.678225085,0.835587298,0.693537072,0.851113013
4/1/1998,0.707487708,0.849622501,0.71639476,0.864120042
7/1/1998,0.744921773,0.865761903,0.755542804,0.890361788
10/1/1998,0.700723005,0.851814861,0.739312137,0.891672472
1/1/1999,0.682531107,0.844533373,0.735033993,0.887927147
4/1/1999,0.66844459,0.84073117,0.734043369,0.889925639
7/1/1999,0.672732539,0.842954764,0.725940265,0.889312193
10/1/1999,0.686819229,0.845388334,0.745416882,0.89786819
1/1/2000,0.701736141,0.848075381,0.778292187,0.910138588
4/1/2000,0.714806971,0.857884089,0.809985554,0.931184978
7/1/2000,0.71981301,0.863894718,0.806856289,0.930588253
10/1/2000,0.7281558,0.867268992,0.814292559,0.936317599
1/1/2001,0.733605662,0.867737522,0.825739039,0.941299131
4/1/2001,0.731662293,0.863818365,0.820665926,0.931745001
7/1/2001,0.73646663,0.864024598,0.85611708,0.938886781
10/1/2001,0.724721257,0.855117794,0.859479243,0.931846182
1/1/2002,0.689835703,0.83845181,0.789328072,0.902183658
4/1/2002,0.669524617,0.830107576,0.743101698,0.881500977
7/1/2002,0.671855785,0.832069923,0.735390262,0.879171158
10/1/2002,0.684812514,0.839282934,0.74630346,0.889030146
1/1/2003,0.704855675,0.849143435,0.782593532,0.907890152
4/1/2003,0.685175524,0.84359997,0.787313956,0.915953374
7/1/2003,0.669751732,0.834686525,0.764544789,0.899779233
10/1/2003,0.662349702,0.83094999,0.737919465,0.881611964
1/1/2004,0.665520552,0.833910541,0.723216126,0.873902141
4/1/2004,0.689218347,0.847282307,0.737625754,0.886292562
7/1/2004,0.689580299,0.849458316,0.734598436,0.884263799
10/1/2004,0.705863969,0.852576403,0.757314429,0.892810544
1/1/2005,0.717390353,0.855783821,0.769576886,0.896944511
4/1/2005,0.710525786,0.856659877,0.773821639,0.90298265
7/1/2005,0.745079364,0.868227572,0.830702118,0.925832664
10/1/2005,0.74905696,0.872672771,0.852054525,0.93563184
1/1/2006,0.717643932,0.860830441,0.813042524,0.918197201
4/1/2006,0.708779082,0.856151889,0.792435775,0.908136468
7/1/2006,0.709197361,0.85614152,0.79437145,0.906324445
10/1/2006,0.712683157,0.858365683,0.787776194,0.903976083
1/1/2007,0.707956589,0.855841117,0.775654453,0.899125792
4/1/2007,0.675628054,0.843727734,0.750282307,0.892755797
7/1/2007,0.680790241,0.847617612,0.782602095,0.917147944
10/1/2007,0.697341579,0.855932894,0.827418477,0.947045525
1/1/2008,0.718166188,0.868847337,0.855354075,0.969907992
4/1/2008,0.773343381,0.889146956,0.920425479,0.996600331
7/1/2008,0.863638437,0.926750653,1.066343654,1.060294617
10/1/2008,0.937178479,0.954543961,1.199613743,1.110687241
1/1/2009,0.911921143,0.939913828,1.121777666,1.073540374
4/1/2009,0.834116943,0.906811164,1.018087754,1.023125539
7/1/2009,0.809821001,0.892057519,0.946640729,0.98426409
10/1/2009,0.778683361,0.882149004,0.876904589,0.948709891
1/1/2010,0.775980714,0.882306966,0.858231902,0.938537008
4/1/2010,0.756553908,0.872010579,0.808409263,0.917385552
7/1/2010,0.718083377,0.858259752,0.758875753,0.892492074
10/1/2010,0.71821294,0.860094508,0.749671607,0.885614869
1/1/2011,0.737379939,0.8644016,0.758414876,0.885085434
4/1/2011,0.721555064,0.857796931,0.754457738,0.885781964
7/1/2011,0.703797519,0.850799709,0.76099804,0.887229957
10/1/2011,0.701506334,0.847802816,0.738705652,0.874814166
1/1/2012,0.690596728,0.842982119,0.715550126,0.860889874
4/1/2012,0.676689269,0.836009851,0.707241185,0.856544687
7/1/2012,0.67656731,0.833114212,0.713331708,0.857904072
10/1/2012,0.691066364,0.836359222,0.716566999,0.85481313
1/1/2013,0.687833966,0.843179532,0.71729753,0.861001891
4/1/2013,0.678468651,0.842915154,0.687964654,0.852921683
7/1/2013,0.696800362,0.849509206,0.678383328,0.845955836
10/1/2013,0.708626545,0.856359695,0.675171085,0.841016426
1/1/2014,0.729835919,0.86313344,0.681210965,0.839379246
4/1/2014,0.700766681,0.854132293,0.665624839,0.834882821
7/1/2014,0.704258513,0.855833885,0.692481102,0.852771512
10/1/2014,0.707655967,0.858019696,0.74585338,0.882269472
1/1/2015,0.727247192,0.866880792,0.806586843,0.914616486
4/1/2015,0.724037252,0.868392854,0.784223119,0.909360542
7/1/2015,0.721293103,0.870423568,0.763793288,0.901262383
